Warehouse	Pallet Location	SKU	Count	Product Name	Category
La Mirada CA	04A02-1	1000-152R-GP	1	"54"" Matte White Removable Standard"	Standard
La Mirada CA	04A02-2	1000-4201X-GP	2	"54"" Silver Chrome Standard"	Standard
La Mirada CA	04A04-1	1000-152GP	2	"54"" Matte White Permanent Standard"	Standard
La Mirada CA	04A04-1	1000-4202X-GP	1	"54"" Gold Chrome Standard"	Standard
La Mirada CA	04A06-1	1000-151-GP-Short	5	"54"" Gloss White Short Size"	Short Size
La Mirada CA	04A06-1	1000-151GP	1	"54"" Gloss White Permanent Standard"	Standard
La Mirada CA	04A06-1	1000-152R-GP	1	"54"" Matte White Removable Standard"	Standard
La Mirada CA	04A06-1	1000-152R-GP-Short	3	"54"" Matte White Removable Short Size"	Short Size
La Mirada CA	04A06-1	1000-H01X-GP	2	"54"" Holographic Silver Standard"	Standard
La Mirada CA	04A06-1	1000-H01X-GP-Short	1	"54"" Holographic Silver Short Size"	Short Size
La Mirada CA	04A09-1	1000-4201X-GP	1	"54"" Silver Chrome Standard"	Standard
La Mirada CA	04A09-1	1000-4201X-GP-Short	8	"54"" Silver Chrome Short Size"	Short Size
La Mirada CA	04A09-1	1000-4202X-GP	1	"54"" Gold Chrome Standard"	Standard
La Mirada CA	04A09-1	1000-4202X-GP-Short	7	"54"" Gold Chrome Short Size"	Short Size
La Mirada CA	04A09-2	1000-151-20GP-Short	4	"20"" Gloss White Short Size"	Short Size
La Mirada CA	04A09-2	1000-151-30GP-Short	1	"30"" Gloss White Short Size"	Short Size
La Mirada CA	04A09-2	1000-151-GP	2	"54"" Gloss White Permanent Standard"	Standard
La Mirada CA	04A09-2	1000-152-20GP-Short	1	"20"" Matte White Short Size"	Short Size
La Mirada CA	04A09-2	1000-152-30GP-Short	3	"30"" Matte White Short Size"	Short Size
La Mirada CA	04A09-2	1000-152-GP	1	54” 6mil high matte white permanent Standard	Standard
La Mirada CA	04A09-2	1000-152R-30GP-Short	1	"30"" Matte White Removable Short Size"	Short Size
La Mirada CA	04A11-2	1000-152R-GP	1	"54"" Matte White Removable Standard"	Standard
La Mirada CA	04A11-2	1000-4202X-GP	2	"54"" Gold Chrome Standard"	Standard
La Mirada CA	04A13-1	1000-152-30GP	1	"30"" Matte White Permanent Standard"	Standard
La Mirada CA	04A13-1	1000-152R-30GP	1	"30"" Matte White Removable Standard"	Standard
La Mirada CA	04A13-1	1000-4201X-30GP	1	"30"" Silver Chrome Standard"	Standard
La Mirada CA	04A13-1	1000-H01X-30GP	1	"30"" Holographic Silver Standard"	Standard
La Mirada CA	04A13-2	1000-151-30GP	1	"30"" Gloss White Permanent Standard"	Standard
La Mirada CA	04A13-2	1000-152-30GP	1	"30"" Matte White Permanent Standard"	Standard
La Mirada CA	04A13-2	1000-152R-30GP	1	"30"" Matte White Removable Standard"	Standard
La Mirada CA	04A13-2	1000-152R-GP	1	"54"" Matte White Removable Standard"	Standard
La Mirada CA	04A13-2	1000-4201X-30GP	1	"30"" Silver Chrome Standard"	Standard
La Mirada CA	04A13-2	1000-4201X-30GP-Short	7	"30"" Silver Chrome Short Size"	Short Size
La Mirada CA	04A13-2	1000-4202X-30GP	4	"30"" Gold Chrome Standard"	Standard
La Mirada CA	04A13-2	1000-4202X-30GP-Short	1	"30"" Gold Chrome Short Size"	Short Size
La Mirada CA	04A13-2	1000-H01X-30GP	1	"30"" Holographic Silver Standard"	Standard
La Mirada CA	04A13-2	1000-H01X-30GP-Short	8	"30"" Holographic Silver Short Size"	Short Size
La Mirada CA	04A19-1	1000-151-30GP	1	"30"" Gloss White Permanent Standard"	Standard
